language,split,text,label
ary,train,hhhhhhhhhhhhhhhhhhhhhh ana ga ma sma tt ach kant kat oll kanrakazz ghir m a zineb oyassmin ochirine,neutral
ary,train,hhhh hardart jomhorha la fi lan kadahko lach mrakzin m aha ama kayn bin li kaydir dakchi alanan ou li khbit bhal bohila,neutral
ary,train,dakchi alach hamdoulah mereta et en bonne sant,positive
ary,train,wlah matfro insana tafha ma ndha hta hadaf f hyatha bghat ghir nas igolo liha zwina tfoo,negative
ary,train,conane likid ambety o abdsalam dar bareh hamla alek hejmo la had siyed bach ibtissam t dar dir ando aflam,negative
ary,train,machi darori tkhayel m aya bnek de ans chiyar chi lo ba jatek nel aynina dabezti m a jara konti kharja men bab we weld l awma tira fe ballon jak nel aynina mohim tzer atlek l aynina we sab a khadama had make up tutorial ye dar ynef ek,negative
ary,train,hna kanmoto lik kifma nti b ay m a rafa wakha kaytkhasem m ak rah ziza lih hna likanchofo kolchi slm,positive
ary,train,rfa ti rasna w rfa ti rayat bladna lah yhfdek wykhalik lina jtm,positive
ary,train,li lya alti chi bnat rayemchiw and btissam chno daro,neutral
ary,train,mezyana fihoum wakha mbs dine,negative
ary,train,yalah kan ob fin ntfrj,neutral
ary,train,hhhhhhhhhhhhhhhhh matjawboch hada rah la itt mne douk dzarin li ness ness lay fo rah chb o fih m yor odb ja andna,negative
ary,train,wa ri sokti koun chi ana koun chti hadik charfa dyalma art ach smit tasiltha bahdloha lah ybahdlhom tba ab lblaa,negative
ary,train,hhhhhhhhhhhhh safe fda ti l moufaj a d momo et hatim,neutral
ary,train,chad lil tfkr f hyatk,neutral
ary,train,saraha kay jboni l aghani romance lik kter,positive
ary,train,rah ghalet ghalt f l onwan yemchi y elb fjiha khora,negative
ary,train,ide mobarake sa ide bi siha wa salama wa tawfi e alfe mabrok li dahabia al alamia ahla horia,positive
ary,train,hadchi mnin katkoni kharja f zan a rah katchofi ghalat dyalhom anahom acho hyathom adi wnsaw camera,negative
ary,train,hadchi kayn ghi fel mghrib plut t ghi fel wydad,neutral
ary,train,hhhhhhhhhhhhhhhh dahk rafihouum omahassin biiih ila bghaw ihadro iba do la moda whadro khenzethom akbar dalil hhhh,negative
ary,train,chehad chi khesskum abssat haja dkhlo fiha btissam w dounia rah bnadam kayntahal chakhssya,negative
ary,train,oisala fi nihaya kariban ala hodod ikhoi algerer help me honak dolm hogra kam fakre intihak hokoki ana mohadad fi maghrib,negative
ary,train,law kan maw i na elach rebhou bochoucha o khelaw salma rachid ach had lghaba lah yeseberkom mesaken,negative
ary,train,jib chi daif jdid bhal said nassiri oulla mohamed nassib likhrj bouzbal,negative
ary,train,awel haja galina tbib de khedma hya ke les fumeurs i edo ichedu lvirus kter ikon kdeb lina o awtani rah kan galiya tes depressive o khassk tchufi psy bal ma diri fe rassk chi haja,neutral
ary,train,hnaya mgharba ohobna li ihab mitl hobna li hanan bas iza ab adat an lmoharij ya nas mahbitouch fhmoni,neutral
ary,train,wwrawni nchofo kifach rafto anaha tssajlat,neutral
ary,train,b al hadchii lli khasso yb a yhat f hissabato machi sowar chwa iyya,neutral
ary,train,andi ir sawlt aloli momkin nsawt bnfs l imayl fga lfi at sa a mara kayt bl mara la glt ila andk chi al,neutral
ary,train,ehab makhabch souhyla hit hya ghir katbaha bih,neutral
ary,train,men bab terche hiya ta ni chi kiv li gelt ane,neutral
ary,train,pliz akhti khasna kamlin nkhdmo la had hachtag f maslhat hanan,neutral
ary,train,khes ykoun ndk dakchi dyal n as bech tvalidi dif b ou nta kan ndek f controle,neutral
ary,train,good luck for ur concert tonight hbib dyalna akid atewlaa ha bas kanet atewla aktar law kunt ana mawgouda,positive
ary,train,chi wehdin ybano ghi f chofo m ana had lmo abala min jito jito beda awno m a f teswiit wela tedkhlo ghi la hsab lmeslaha,negative
ary,train,ach daret awod mbc hhhhhhhh daba nedkhol d cava azin kander tlila hna wlhih d belya khayba,neutral
ary,train,j pense dakchi d charikat mohal tjawb lih nsswlo la hafalatha o aham haja tour o fo ach ghada l uae,neutral
ary,train,tfarji fl vedio walaw ghir mara bach tfahmi ach kayn wana manhmalch chi had ana ba da manchofoch aslan machi ntab o n ayar fih,neutral
ary,train,dkhlo hna chufo chnu tari,neutral
ary,train,lli bgha yechri taykhaless hadik jou a dyal les labels,neutral
ary,train,chofi homa fach ghadi i a o hadak achi li bghaw maghadich tb ay tchofihim fi ta ta ihab,neutral
ary,train,hadi li khassha wissam machi dounia batma,neutral
ary,train,ra hiya a hbiba li dart lih wahad l alba khayba,negative
ary,train,sa afa d l lawi qui partage la video des enfants avant dakchi li w a bouzni a,negative
ary,train,a ghir mwensahoum wellah w brasserie la cigale in casablanca grand casablanca,neutral
ary,train,chi nas kihdro m ak ghir ala wed ewa kayn chi titiz kayn chi kayn chi wa siro tiwni bti ar afak,negative
